time_from_start,robot1_move_x,robot1_move_y,robot1_move_z,robot1_turn_z,robot2_move_x,robot2_move_y,robot2_move_z,robot2_turn_z
0.001,29.993,0,0,3.1416,0,-29.993,0,1.5708
0.14039,29.033,0,0,3.1416,0,-29.069,0,1.5708
0.27977,28.03,0,0,3.1416,0,-28.164,0,1.5708
0.41916,26.985,0,0,3.1416,0,-27.278,0,1.5708
0.55854,25.906,0,0,3.1416,0,-26.411,0,1.5708
0.69793,24.798,0,0,3.1416,0,-25.564,0,1.5708
0.83731,23.663,0,0,3.1416,0,-24.735,0,1.5708
0.9767,22.509,0,0,3.1416,0,-23.927,0,1.5708
1.1161,21.34,0,0,3.1416,0,-23.139,0,1.5708
1.2555,20.161,0,0,3.1416,0,-22.371,0,1.5708
1.3949,18.977,0,0,3.1416,0,-21.624,0,1.5708
1.5342,17.793,0,0,3.1416,0,-20.896,0,1.5708
1.6736,16.613,0,0,3.1416,0,-20.189,0,1.5708
1.813,15.444,0,0,3.1416,0,-19.502,0,1.5708
1.9524,14.29,0,0,3.1416,0,-18.835,0,1.5708
2.0918,13.156,0,0,3.1416,0,-18.189,0,1.5708
2.2312,12.047,0,0,3.1416,0,-17.565,0,1.5708
2.3705,10.967,0,0,3.1416,0,-16.962,0,1.5708
2.5099,9.9236,0,0,3.1416,0,-16.379,0,1.5708
2.6493,8.9178,0,0,3.1416,0,-15.818,0,1.5708
2.7887,7.9026,0,0,3.1416,0,-15.278,0,1.5708
2.9281,6.8426,0,0,3.1416,0,-14.758,0,1.5708
3.0675,5.7452,0,0,3.1416,0,-14.26,0,1.5708
3.2069,4.6177,0,0,3.1416,0,-13.785,0,1.5708
3.3462,3.4673,0,0,3.1416,0,-13.332,0,1.5708
3.4856,2.3014,0,0,3.1416,0,-12.9,0,1.5708
3.625,1.1273,0,0,3.1416,0,-12.491,0,1.5708
3.7644,-0.047794,0,0,3.1416,0,-12.103,0,1.5708
3.9038,-1.2164,0,0,3.1416,0,-11.737,0,1.5708
4.0432,-2.3714,0,0,3.1416,0,-11.393,0,1.5708
4.1826,-3.5053,0,0,3.1416,0,-11.071,0,1.5708
4.3219,-4.6109,0,0,3.1416,0,-10.774,0,1.5708
4.4613,-5.681,0,0,3.1416,0,-10.5,0,1.5708
4.6007,-6.7081,0,0,3.1416,0,-10.247,0,1.5708
4.7401,-7.6851,0,0,3.1416,0,-10.018,0,1.5708
4.8795,-8.6046,0,0,3.1416,0,-9.811,0,1.5708
5.0189,-9.484,0,0,3.1416,0,-9.6271,0,1.5708
5.1583,-10.424,0,0,3.1416,0,-9.4661,0,1.5708
5.2976,-11.432,0,0,3.1416,0,-9.3294,0,1.5708
5.437,-12.497,0,0,3.1416,0,-9.2171,0,1.5708
5.5764,-13.609,0,0,3.1416,0,-9.1282,0,1.5708
5.7158,-14.758,0,0,3.1416,0,-9.0627,0,1.5708
5.8552,-15.933,0,0,3.1416,0,-9.0208,0,1.5708
5.9946,-17.124,0,0,3.1416,0,-9.0026,0,1.5708
6.1339,-18.322,0,0,3.1416,0,-9,0,1.5708
6.2733,-19.515,0,0,3.1416,0,-9,0,1.5708
6.4127,-20.693,0,0,3.1416,0,-9,0,1.5708
6.5521,-21.847,0,0,3.1416,0,-9,0,1.5708
6.6915,-22.965,0,0,3.1416,0,-9,0,1.5708
6.8309,-24.037,0,0,3.1416,0,-9,0,1.5708
6.9703,-25.054,0,0,3.1416,0,-9,0,1.5708
7.1096,-26.005,0,0,3.1416,-0.00021698,-8.9865,0,1.5723
7.249,-26.879,0,0,3.1416,-0.0013652,-8.9148,0,1.5803
7.3884,-27.667,0,0,3.1416,-0.003365,-8.7901,0,1.5941
7.5278,-28.358,0,0,3.1416,-0.0094871,-8.6105,0,1.6141
