time_from_start,robot1_move_x,robot1_move_y,robot1_move_z,robot1_turn_z,robot2_move_x,robot2_move_y,robot2_move_z,robot2_turn_z,robot3_move_x,robot3_move_y,robot3_move_z,robot3_turn_z
0.001000,59.991495,0.000000,0.000000,3.141593,-49.991697,3.000000,0.000000,0.000000,0,3,0,0
0.205684,58.248358,0.000000,0.000000,3.141593,-48.298375,3.000000,0.000000,0.000000,0,3,0,0
0.410369,56.496850,0.000000,0.000000,3.141593,-46.686685,3.000000,0.000000,0.000000,0,3,0,0
0.615053,54.738089,0.000000,0.000000,3.141593,-45.153820,3.000000,0.000000,0.000000,0,3,0,0
0.819738,52.973166,0.000000,0.000000,3.141593,-43.696975,3.000000,0.000000,0.000000,0,3,0,0
1.024422,51.203175,0.000000,0.000000,3.141593,-42.313344,3.000000,0.000000,0.000000,0,3,0,0
1.229106,49.429205,0.000000,0.000000,3.141593,-41.000120,3.000000,0.000000,0.000000,0,3,0,0
1.433791,47.652350,0.000000,0.000000,3.141593,-39.754498,3.000000,0.000000,0.000000,0,3,0,0
1.638475,45.873690,0.000000,0.000000,3.141593,-38.573671,3.000000,0.000000,0.000000,0,3,0,0
1.843160,44.094388,0.000000,0.000000,3.141593,-37.454834,3.000000,0.000000,0.000000,0,3,0,0
2.047844,42.315569,0.000000,0.000000,3.141593,-36.395180,3.000000,0.000000,0.000000,0,3,0,0
2.252528,40.538325,0.000000,0.000000,3.141593,-35.391904,3.000000,0.000000,0.000000,0,3,0,0
2.457213,38.763749,0.000000,0.000000,3.141593,-34.442200,3.000000,0.000000,0.000000,0,3,0,0
2.661897,36.992932,0.000000,0.000000,3.141593,-33.545898,3.000000,0.000000,0.000000,0,3,0,0
2.866582,35.226966,0.000000,0.000000,3.141593,-32.697946,3.000000,0.000000,0.000000,0,3,0,0
3.071266,33.466980,0.000000,0.000000,3.141593,-31.894781,3.000000,0.000000,0.000000,0,3,0,0
3.275950,31.714323,0.000000,0.000000,3.141593,-31.133596,3.000000,0.000000,0.000000,0,3,0,0
3.480635,29.969886,0.000000,0.000000,3.141593,-30.411586,3.000000,0.000000,0.000000,0,3,0,0
3.685319,28.234760,0.000000,0.000000,3.141593,-29.725943,3.000000,0.000000,0.000000,0,3,0,0
3.890004,26.510039,0.000000,0.000000,3.141593,-29.073863,3.000000,0.000000,0.000000,0,3,0,0
4.094688,24.796814,0.000000,0.000000,3.141593,-28.452539,3.000000,0.000000,0.000000,0,3,0,0
4.299372,23.096176,0.000000,0.000000,3.141593,-27.859165,3.000000,0.000000,0.000000,0,3,0,0
4.504057,21.409219,0.000000,0.000000,3.141593,-27.290936,3.000000,0.000000,0.000000,0,3,0,0
4.708741,19.737490,0.000000,0.000000,3.141593,-26.745044,3.000000,0.000000,0.000000,0,3,0,0
4.913426,18.081873,0.000000,0.000000,3.141593,-26.218685,3.000000,0.000000,0.000000,0,3,0,0
5.118110,16.443305,0.000000,0.000000,3.141593,-25.709542,3.000000,0.000000,0.000000,0,3,0,0
5.322794,14.822878,0.000000,0.000000,3.141593,-25.214520,3.000000,0.000000,0.000000,0,3,0,0
5.527479,13.218531,0.000000,0.000000,3.141593,-24.730246,3.000000,0.000000,0.000000,0,3,0,0
5.732163,11.635356,0.000000,0.000000,3.141593,-24.253912,3.000000,0.000000,0.000000,0,3,0,0
5.936848,10.091513,0.000000,0.000000,3.141593,-23.782713,3.000000,0.000000,0.000000,0,3,0,0
6.141532,8.606299,0.000000,0.000000,3.141593,-23.313843,3.000000,0.000000,0.000000,0,3,0,0
6.346216,7.198958,0.000000,0.000000,3.141593,-22.844496,3.000000,0.000000,0.000000,0,3,0,0
6.550901,5.766447,0.000000,0.000000,3.141593,-22.371866,3.000000,0.000000,0.000000,0,3,0,0
6.755585,4.215408,0.000000,0.000000,3.141593,-21.893146,3.000000,0.000000,0.000000,0,3,0,0
6.960270,2.579593,0.000000,0.000000,3.141593,-21.405531,3.000000,0.000000,0.000000,0,3,0,0
7.164954,0.893525,0.000000,0.000000,3.141593,-20.906215,3.000000,0.000000,0.000000,0,3,0,0
7.369638,-0.808128,0.000000,0.000000,3.141593,-20.392391,3.000000,0.000000,0.000000,0,3,0,0
7.574323,-2.490731,0.000000,0.000000,3.141593,-19.860932,3.000000,0.000000,0.000000,0,3,0,0
7.779007,-4.119999,0.000000,0.000000,3.141593,-19.308032,3.000000,0.000000,0.000000,0,3,0,0
7.983692,-5.661332,0.000000,0.000000,3.141593,-18.731839,3.000000,0.000000,0.000000,0,3,0,0
8.188376,-7.079696,0.000000,0.000000,3.141593,-18.129548,3.000000,0.000000,0.000000,0,3,0,0
8.393060,-8.502894,0.000000,0.000000,3.141593,-17.498352,3.000000,0.000000,0.000000,0,3,0,0
8.597745,-10.066524,0.000000,0.000000,3.141593,-16.835445,3.000000,0.000000,0.000000,0,3,0,0
8.802429,-11.657669,0.000000,0.000000,3.141593,-16.138022,3.000000,0.000000,0.000000,0,3,0,0
9.007114,-13.161121,0.000000,0.000000,3.141593,-15.403276,3.000000,0.000000,0.000000,0,3,0,0
