time_from_start,robot1_move_x,robot1_move_y,robot1_move_z,robot1_turn_z,robot2_move_x,robot2_move_y,robot2_move_z,robot2_turn_z,robot3_move_x,robot3_move_y,robot3_move_z,robot3_turn_z
0.001000,69.991494,0.000000,0.000000,3.141593,-49.991627,3.000000,0.000000,0.000000,10,10,0,0
0.199808,68.299046,0.000000,0.000000,3.141593,-48.328384,3.000000,0.000000,0.000000,10,10,0,0
0.398615,66.600393,0.000000,0.000000,3.141593,-46.713212,3.000000,0.000000,0.000000,10,10,0,0
0.597423,64.895607,0.000000,0.000000,3.141593,-45.145040,3.000000,0.000000,0.000000,10,10,0,0
0.796231,63.184811,0.000000,0.000000,3.141593,-43.622798,3.000000,0.000000,0.000000,10,10,0,0
0.995038,61.469255,0.000000,0.000000,3.141593,-42.145414,3.000000,0.000000,0.000000,10,10,0,0
1.193846,59.748861,0.000000,0.000000,3.141593,-40.711820,3.000000,0.000000,0.000000,10,10,0,0
1.392654,58.024378,0.000000,0.000000,3.141593,-39.320943,3.000000,0.000000,0.000000,10,10,0,0
1.591461,56.296580,0.000000,0.000000,3.141593,-37.971715,3.000000,0.000000,0.000000,10,10,0,0
1.790269,54.565421,0.000000,0.000000,3.141593,-36.663064,3.000000,0.000000,0.000000,10,10,0,0
1.989077,52.831913,0.000000,0.000000,3.141593,-35.393921,3.000000,0.000000,0.000000,10,10,0,0
2.187884,51.096472,0.000000,0.000000,3.141593,-34.163213,3.000000,0.000000,0.000000,10,10,0,0
2.386692,49.359455,0.000000,0.000000,3.141593,-32.969872,3.000000,0.000000,0.000000,10,10,0,0
2.585500,47.621584,0.000000,0.000000,3.141593,-31.812827,3.000000,0.000000,0.000000,10,10,0,0
2.784307,45.883293,0.000000,0.000000,3.141593,-30.691007,3.000000,0.000000,0.000000,10,10,0,0
2.983115,44.145130,0.000000,0.000000,3.141593,-29.603342,3.000000,0.000000,0.000000,10,10,0,0
3.181923,42.407557,0.000000,0.000000,3.141593,-28.548762,3.000000,0.000000,0.000000,10,10,0,0
3.380730,40.671260,0.000000,0.000000,3.141593,-27.526195,3.000000,0.000000,0.000000,10,10,0,0
3.579538,38.936612,0.000000,0.000000,3.141593,-26.534572,3.000000,0.000000,0.000000,10,10,0,0
3.778346,37.204062,0.000000,0.000000,3.141593,-25.572822,3.000000,0.000000,0.000000,10,10,0,0
3.977153,35.474540,0.000000,0.000000,3.141593,-24.639875,3.000000,0.000000,0.000000,10,10,0,0
4.175961,33.748069,0.000000,0.000000,3.141593,-23.734661,3.000000,0.000000,0.000000,10,10,0,0
4.374769,32.025428,0.000000,0.000000,3.141593,-22.856108,3.000000,0.000000,0.000000,10,10,0,0
4.573576,30.307300,0.000000,0.000000,3.141593,-22.003146,3.000000,0.000000,0.000000,10,10,0,0
4.772384,28.593666,0.000000,0.000000,3.141593,-21.174706,3.000000,0.000000,0.000000,10,10,0,0
4.971192,26.885779,0.000000,0.000000,3.141593,-20.369716,3.000000,0.000000,0.000000,10,10,0,0
